x	y
4150.715	0.128
4150.715	0.128
4163.384	0.127
4163.384	0.127
4163.384	0.127
4163.384	0.127
4168.891	0.126
4190.989	0.125
4190.989	0.125
4190.989	0.125
4203.784	0.125
4203.784	0.125
4212.701	0.124
4212.701	0.124
4226.116	0.124
4226.116	0.124
4239.022	0.124
4239.022	0.123
4251.958	0.123
4251.958	0.123
4260.979	0.122
4274.496	0.122
4287.543	0.122
4287.543	0.122
4301.196	0.122
4314.890	0.121
4328.581	0.121
4341.792	0.121
4341.792	0.121
4355.049	0.120
4355.049	0.120
4368.342	0.120
4381.679	0.119
4381.679	0.119
4390.973	0.119
4390.973	0.118
4404.956	0.118
4414.302	0.118
4414.302	0.117
4427.776	0.117
4441.294	0.117
4450.664	0.116
4464.248	0.116
4478.464	0.116
4492.726	0.115
4507.029	0.115
4507.029	0.115
4521.326	0.115
4535.130	0.114
4548.973	0.114
4548.973	0.114
4558.625	0.113
4568.298	0.113
4597.379	0.113
4621.805	0.112
4621.805	0.112
4646.300	0.111
4660.485	0.111
4674.711	0.111
4703.303	0.110
4718.273	0.110
4732.679	0.110
4747.124	0.109
4747.124	0.109
4757.197	0.109
4757.197	0.109
4772.342	0.109
4786.913	0.108
4786.913	0.108
4801.524	0.108
4801.524	0.107
4801.524	0.107
4816.763	0.106
4816.763	0.106
4832.093	0.106
4832.093	0.106
4832.093	0.105
4832.093	0.105
4846.846	0.105
4862.277	0.105
4872.534	0.104
4872.534	0.104
4872.534	0.104
4888.050	0.104
4898.422	0.104
4898.422	0.103
4913.374	0.103
4913.374	0.103
4928.375	0.103
4928.375	0.103
4928.375	0.102
4944.065	0.102
4959.748	0.102
4959.748	0.102
4975.542	0.102
4975.542	0.101
4986.100	0.101
4986.100	0.101
5001.318	0.101
5003.440	0.101
5016.588	0.101
5016.588	0.100
5027.229	0.100
5027.229	0.100
5027.229	0.100
5043.175	0.100
5059.235	0.099
5059.235	0.099
5059.235	0.099
5074.682	0.099
5074.682	0.098
5090.171	0.098
5105.712	0.098
5105.712	0.098
5137.605	0.098
5153.287	0.097
5153.287	0.097
5153.287	0.097
5169.697	0.097
5180.603	0.096
5180.603	0.096
5196.424	0.096
5196.424	0.096
5196.424	0.096
5212.963	0.095
5229.563	0.095
5229.563	0.095
5229.563	0.095
5246.152	0.094
5262.165	0.094
5273.331	0.094
5273.331	0.094
5290.124	0.093
5306.965	0.093
5306.965	0.092
5306.965	0.092
5323.168	0.092
5323.168	0.092
5340.054	0.092
5356.353	0.092
5356.353	0.092
5372.707	0.092
5372.707	0.091
5389.812	0.091
5406.975	0.091
5418.448	0.090
5418.448	0.090
5418.448	0.090
5452.941	0.090
5452.941	0.090
5464.511	0.089
5464.511	0.089
5481.913	0.089
5516.810	0.089
5528.516	0.088
5528.516	0.088
5528.516	0.088
5528.516	0.088
5562.321	0.088
5579.965	0.087
5591.805	0.087
5591.805	0.087
5608.873	0.087
5625.998	0.087
5625.998	0.086
5643.909	0.086
5643.909	0.086
5661.882	0.086
5661.882	0.086
5661.882	0.086
5679.842	0.085
5697.929	0.085
5710.015	0.085
5710.015	0.084
5710.015	0.084
5727.448	0.084
5727.448	0.084
5745.682	0.084
5761.663	0.084
5800.676	0.083
5800.676	0.083
5800.676	0.083
5819.077	0.083
5837.603	0.082
5874.836	0.081
5893.481	0.081
5893.481	0.081
5893.481	0.081
5931.066	0.080
5962.500	0.080
5981.488	0.079
